1	'altro
3	abate
2	abbasso
19	abbastanza
1	abbé
1	abitualmente
7	accanto
1	accattivamente
1	acceleratissimo
1	acclamatissimo
1	acconto
3	accuratamente
1	addietro
14	addirittura
1	addirittura più
1	addobbatissimo
1	addosso
7	adesso
1	adoratissimo
10	affatto
1	affiatatissimo
1	afrique
1	agente
1	aiutante
1	albine
6	alias
1	allenatissimo
15433	allora
1	allora alto
1	allora anche
4	allora ancora
5	allora ben
1	allora pressoché
14	allora prima
5	allora quasi
1	allora solamente
1	allora solo
1	allora soltanto
1	allora via
7	almeno
9	alquanto
1	altamente
32	alter
193	alto
2	altresì
27	altrettanto
1	altrettanto alto
2	altrettanto forte
2	altrettanto proprio
2	altrettanto sicuro
12	altrimenti
20	altrove
1	altrove doppiamente
3	ambitissimo
4	ambìto
2	americanissimo
1	amichevolmente
3	amore-non
1	ampiamente
455	anche
1	anche assai
1	anche decisamente
1	anche stamattina
2	anche troppo
31	ancor
1	ancor meno
4	ancor oggi
3	ancor piu'
29	ancor più
1	ancor troppo
206	ancora
1	ancora abbastanza
1	ancora allora
1	ancora economicamente
1	ancora forse
1	ancora meno
3	ancora non
16	ancora più
1	ancora poco
1	ancora proprio
1	annetté
1	anno-ben
2	annunciatissimo
105	ante
4	antichissimo
1	anzi
6	anzidetto
1	anzitutto
1	apertamente
21	aperto
14	apparentemente
2	apparentemente più
75	appena
4	applauditissimo
22	apposta
1	approssimativamente
355	appunto
3	appunto anche
1	appunto ancora
1	appunto circa
1	appunto ieri
1	appunto molto
2	appunto più
1	appunto poco
5	appunto solo
1	arciprete
1	arrière
1	artisticamente
1	asha’
2	aspramente
40	assai
1	assai piu'
3	assai più
3	assai poco
5	assieme
1	assitente
1	assofibre
17	assolutamente
1	astensione-non
1	astrattamente
4	astuto
1	atrocissimo
1	atti
13	attor
1	attori-vignaioli
3	attraverso
1	attrezzatissimo
7	attualmente
1	autobahnen
1	autono-mo
1	autore-non
1	autorita'
1	avanspettacolo
52	avanti
2	azione-non
1	baglio
1	bahai
1	balconcino
1	balneario
1	bambina,intanto
1	barboncino
3	barocco
1	barolo
1	base-non
1	bassamente
25	basso
1	battutissimo
1	bebè
1	bellevue
375	ben
1	ben così
1	ben piu'
65	ben più
2	ben poco
3	benche'
13	benché
1405	bene
6	bene così
1	bene dietro
5	bene fa
1	bene largamente
1	bene male
1	bene molto
3	bene non
3	bene oramai
1	bene particolarmente
1	bene piu'
