NOUN	REPUBBLICA	WIKICONLL	ITWAC
ministro	1276	113	1684
presidente	1003	297	1735
critico	2	0	0
parlamentare	2	0	0
cancelliere	34	7	10
procuratore	79	1	77
sindaco	114	52	400
ambasciatore	14	3	38
direttore	180	49	360
segretario	251	46	307
amministratore	59	2	39
deputato	5	5	18
governatore	72	26	84
responsabile	3	0	41
vicequestore	1	0	15
numero	16	13	10
candidato	14	4	0
sottosegretario	65	3	152
re	3	19	18
sottotenente	3	2	4
ignoti	1	0	0
assessore	41	4	222
palazzo	1	2	5
prefetto	17	10	47
capo	242	34	227
prezzo	1	0	0
nunzio	4	1	18
console	2	1	7
vescovo	18	31	76
commissario	26	13	85
colonnello	16	5	39
comandante	32	10	42
dirigenza	1	1	8
militanti	1	0	0
titolare	14	0	12
guardasigilli	14	0	5
opposizione	3	2	90
azienda	1	0	3
capitano	17	13	66
agente	1	0	2
vicepresidente	24	3	39
principe	13	13	7
dirigente	17	0	33
relatore	1	0	5
giudice	37	2	37
questore	31	1	21
consigliere	21	0	49
tenente	8	11	36
membro	2	1	0
governo	19	8	170
neo	2	0	5
musicista	1	1	0
candidati	1	0	1
eroe	1	0	0
studente	3	7	9
leader	40	6	49
nemici	2	0	0
ragazza	1	1	0
gruppo	2	0	15
dittatore	7	1	20
pontefice	5	2	12
primate	3	0	5
capitale	3	9	19
circuito	1	0	0
capogruppo	5	0	14
avversario	1	0	1
papa	4	3	24
campione	2	51	11
allenatore	3	44	7
padrone	2	1	2
rettore	4	12	31
conte	1	3	3
bambino	2	2	1
dibattito	1	0	0
marito	2	3	10
imperatore	1	6	8
consiglio	3	0	34
polizia	1	0	0
vicesindaco	7	0	6
vicesegretario	7	0	7
territorio	1	3	2
ministero	9	8	21
arcivescovo	17	20	102
commissione	1	1	16
soldato	1	1	1
duca	2	7	6
ct	3	3	5
magistrato	3	0	14
padroni	1	0	3
segreteria	2	0	3
vicedirettore	8	0	8
ministri	10	2	26
regime	4	1	17
campioni	2	9	3
senatore	10	7	41
sergente	3	1	6
azionista	1	0	3
portiere	2	4	6
pretore	5	0	11
boss	5	0	1
patriarca	2	5	10
cardinale	6	17	114
vertici	1	0	2
avvocato	4	1	5
ragazzi	1	0	0
coordinatore	1	1	4
impero	2	1	7
partito	3	3	56
pci	43	0	38
maggioranza	6	2	117
colosso	1	0	1
dirigenti	5	0	6
doge	1	1	0
monsignor	5	4	15
principessa	2	2	1
enimont	6	0	0
sistema	1	1	2
funzionario	3	0	3
sostituto	1	1	36
centrocampista	1	0	0
braccio	1	0	3
patto	1	0	1
sacerdote	1	2	2
vice	1	1	40
ufficio	1	0	22
protagonista	1	0	2
servizio	1	2	16
urss	3	1	0
ragioniere	1	0	2
fidanzato	3	2	2
direzione	1	0	41
pm	39	1	17
azionisti	1	0	0
comitato	4	0	15
professore	2	2	10
piano	1	0	2
alto	1	2	0
capi	2	0	4
marina	1	1	0
tecnico	4	14	4
manager	3	6	4
componente	2	1	0
tesoriere	5	1	4
jugoslavia	5	6	0
rappresentante	3	0	8
podestà	1	2	7
proprietaria	1	1	5
organizzazione	1	0	1
fidanzata	5	5	8
portavoce	2	0	7
soprintendenza	1	0	7
compagnia	1	0	2
amministrazione	3	4	36
zona	1	0	1
cantante	1	1	0
diciannovenne	4	0	4
paesi	2	0	5
proprietario	1	13	1
onorevole	2	0	0
compagno	2	6	8
sip	5	0	0
titolari	1	0	1
msi	6	0	0
banco	3	0	5
amministratori	1	1	4
banca	1	0	27
monopolio	1	1	0
eroi	1	0	0
compagna	1	3	3
