NOUN	WIKICONLL	REPUBBLICA	ITWAC
soluzioni	0	2	18
scissione	0	1	0
necessità	0	1	1
polipo	0	3	1
filosofie	0	1	3
psicologo	0	1	0
obiettività	0	2	2
borghesia	0	1	3
unione	0	1	0
demenza	0	4	6
proprietario	0	1	0
turisti	0	1	3
esperimenti	0	1	0
valori	0	3	28
rivoluzionari	1	1	1
dimissioni	0	1	1
culture	0	1	0
idee	0	1	1
artigiani	0	1	2
teatro	0	1	0
scientismo	0	1	0
musical	0	1	1
racconti	0	1	0
scienza	6	7	69
riforme	0	2	15
ecologi	0	1	0
vagina	1	2	0
dramma	0	1	0
luoghi	0	1	0
buffet	0	1	0
eva	0	1	0
teppisti	0	1	0
punk	1	1	0
avvenimento	0	1	0
agenzia	1	1	0
accordi	0	3	0
storicista	0	1	0
presidenti	0	1	0
intellettuali	0	4	40
rappresentanti	0	1	0
longino	3	4	0
negoziato	0	1	0
eventi	0	1	9
inno	0	1	1
problemi	3	2	11
storia	7	1	8
democrazia	0	5	26
hostess	0	1	0
partigiani	0	1	1
civiltà	0	1	1
realtà	0	2	10
riforma	1	3	22
concetti	1	2	9
adidas	0	1	0
tudor	0	1	0
argomenti	0	1	3
milanese	0	1	1
lettura	0	1	1
indagine	0	1	3
libri	0	2	1
problema	2	2	19
imprenditoria	0	1	0
dionigi	30	6	30
olivetti	0	1	0
volontari	0	1	0
imposte	0	1	0
generale	0	1	0
legittimità	0	1	0
spot	0	1	0
tifosi	0	6	35
magnate	0	1	0
imprenditori	0	2	9
comunismo	0	2	1
futurista	0	1	0
romanzo	0	2	4
movimento	0	1	0
letteratura	0	1	2
scienziata	0	1	0
informazione	0	1	9
cultura	1	6	28
comunicazione	0	2	7
patriottismo	0	1	0
progressisti	0	1	2
abbas	0	1	0
dean	0	1	0
regole	0	2	1
documentario	1	2	7
golpisti	0	1	0
lingua	2	1	0
attori	1	1	6
democratici	0	1	0
crisi	0	2	19
liberty	0	1	0
culturali	0	2	0
redattori	0	1	0
rap	0	2	0
varietà	0	1	1
