NOUN	REPUBBLICA	WIKICONLL	ITWAC
note	32	0	8
tesi	10	0	7
fatto	14	0	1
mal	1	0	0
onorevole	2	0	1
piccolo	1	0	0
commissario	2	0	1
precarie	8	0	0
anziana	1	0	0
tanto	2	0	0
giovedì	2	0	0
lunedì	1	0	0
smentite	1	0	0
martedì	1	0	0
compromesso	1	3	5
corte	1	0	0
letto	1	0	0
cattivi	1	0	0
critiche	1	0	3
partner	1	0	0
previsto	2	0	10
marito	1	0	0
anni	1	0	0
semi	1	0	0
partite	1	0	0
spese	2	0	0
complessi	2	0	0
signora	2	0	0
pensionati	7	0	1
consigliere	2	0	4
ministro	3	1	12
iscritti	1	0	0
senatore	1	0	1
tutt	1	0	0
unione	1	0	0
detentori	1	0	0
scelta	3	0	1
veicolo	1	0	0
promessa	1	0	0
responsabile	1	0	0
promesse	1	0	1
buono	1	0	1
domenica	2	0	0
messe	1	0	1
oggi	1	0	0
somma	1	0	0
critico	5	0	0
presidente	2	0	13
vincitore	1	0	0
procuratore	1	0	2
leader	1	0	0
posto	1	0	0
precari	1	0	1
dati	1	0	7
esperto	1	0	3
minimo	1	0	0
sale	1	0	0
candidato	1	0	0
eroe	1	0	0
fidanzata	1	0	0
assunti	1	0	0
falso	1	0	0
deputato	1	0	1
precario	0	1	4
campioni	0	2	3
campione	0	3	6
compagno	0	2	0
batterista	0	1	0
compagni	0	1	0
proposta	0	1	7
figlia	0	1	0
portavoce	0	1	0
cariche	0	1	0
teorico	0	1	0
portatore	0	1	0
re	0	1	2
proprietaria	0	1	0
compromessi	0	1	3
residenza	0	1	0
console	0	1	1
sofferenti	0	1	0
migliaia	0	1	0
protagonista	0	1	1
proposte	0	1	2
sindaco	0	1	3
citata	0	0	349
retrocesso	0	0	12
visto	0	0	238
segretario	0	0	7
percorso	0	0	3
magistrato	0	0	2
direzione	0	0	5
nota	0	0	22
vista	0	0	6
adulto	0	0	2
campo	0	0	1
contenuti	0	0	2
significato	0	0	2
devoto	0	0	1
capogruppo	0	0	1
citate	0	0	23
linea	0	0	1
solito	0	0	1
mitica	0	0	2
pm	0	0	1
qualificata	0	0	2
sin	0	0	2
entusiaste	0	0	1
golfisti	0	0	1
titolare	0	0	3
accademia	0	0	2
emotivo	0	0	6
vice	0	0	8
casa	0	0	2
squadre	0	0	1
ottimo	0	0	9
premio	0	0	4
cadavere	0	0	1
esperti	0	0	3
vittime	0	0	1
risorse	0	0	1
cit	0	0	13
chiacchierone	0	0	3
viste	0	0	11
palazzo	0	0	1
padre	0	0	2
direttore	0	0	10
vescovo	0	0	2
risultato	0	0	1
serie	0	0	1
arcivescovo	0	0	1
monastero	0	0	2
sergente	0	0	3
rimpianto	0	0	1
flop	0	0	1
oggetto	0	0	9
sudditi	0	0	1
assessore	0	0	5
colonnello	0	0	1
duca	0	0	1
soci	0	0	6
cardinal	0	0	1
doge	0	0	3
governatore	0	0	4
fatti	0	0	3
sottosegretario	0	0	1
successo	0	0	1
regina	0	0	1
proprietari	0	0	2
dittatore	0	0	1
titolari	0	0	3
voglia	0	0	1
spinta	0	0	4
clienti	0	0	8
governo	0	0	2
cappella	0	0	2
verde	0	0	1
riformisti	0	0	2
caldo	0	0	1
capitano	0	0	1
colosso	0	0	1
provveditorato	0	0	1
poeta	0	0	1
conto	0	0	1
qualificate	0	0	1
commercianti	0	0	1
ricchi	0	0	2
amico	0	0	1
richiesta	0	0	2
istituto	0	0	2
cittadino	0	0	1
morti	0	0	3
ricevute	0	0	1
ambasciatore	0	0	1
soprintendente	0	0	1
relatore	0	0	1
cardinale	0	0	1
colonna	0	0	1
comitato	0	0	4
attrice	0	0	1
collega	0	0	2
madre	0	0	1
partita	0	0	1
regista	0	0	1
ri	0	0	1
comandante	0	0	3
chitarrista	0	0	1
centro	0	0	1
autore	0	0	2
leggendaria	0	0	1
legge	0	0	2
diocesi	0	0	1
singolo	0	0	2
museo	0	0	1
parco	0	0	1
pensionato	0	0	1
presidenti	0	0	1
vicepresidente	0	0	2
magro	0	0	2
astuto	0	0	1
debole	0	0	1
rappresentante	0	0	1
premiata	0	0	1
correntisti	0	0	1
collaboratore	0	0	2
stato	0	0	1
corso	0	0	1
umili	0	0	1
testata	0	0	1
passato	0	0	1
laureati	0	0	1
impiegati	0	0	1
federalista	0	0	1
corta	0	0	1
produttore	0	0	1
consumatori	0	0	2
uomo	0	0	2
commessi	0	0	1
testo	0	0	1
onnipotente	0	0	1
ufficio	0	0	1
scritta	0	0	2
campionessa	0	0	1
ragazzo	0	0	1
ospedale	0	0	2
fortunato	0	0	1
tempo	0	0	1
provincia	0	0	1
partito	0	0	1
feudo	0	0	1
cult	0	0	1
