NOUN	REPUBBLICA	WIKICONLL	ITWAC
totalità	937	626	5783
unanimità	50	7	77
normalità	10	0	20
vittoria	3	0	10
perfezione	5	0	11
debutto	3	0	1
parità	6	0	8
impossibilità	22	3	72
protagonisti	1	0	0
scomparsa	16	5	52
abolizione	3	0	2
ridicolo	1	0	0
rottura	13	1	9
fissità	1	0	0
certezza	177	6	276
metà	2	0	4
omonimo	39	22	32
assenza	15	14	82
quotidiani	7	0	0
integrità	3	0	1
medico	2	0	1
dottor	1	0	8
vittima	1	0	1
crisi	12	0	2
riconoscimento	1	0	0
amico	4	0	2
raddoppio	13	0	18
paralisi	9	0	4
plebiscito	5	0	4
mezzo	1	0	0
protagonista	1	0	0
immobilità	4	0	9
ingegnere	2	0	4
pareggio	6	1	9
certezze	2	0	4
crollo	2	0	5
silenzio	9	0	13
stagnazione	5	0	3
guerra	6	0	6
pensionato	2	0	1
totale	17	0	16
coincidenza	5	1	7
veto	1	0	0
indifferenza	9	0	13
cecità	3	1	7
convinzione	1	0	0
promessa	1	0	0
monopolio	26	2	72
accordo	7	0	4
fidanzata	2	0	2
punta	2	0	0
bancarotta	5	0	1
conclusione	3	0	1
controllo	1	0	0
comico	2	0	1
vincitore	2	0	0
romanzo	1	0	1
intesa	4	0	0
congresso	3	0	0
maggiorenne	1	0	0
applauso	1	0	0
alleanza	4	0	0
imbarazzo	1	0	0
socio	1	0	0
carlo	1	0	0
straordinario	2	0	0
ora	1	0	0
regime	2	0	1
sinonimo	1	0	0
incidente	1	0	2
incidenti	1	0	2
decennio	1	0	1
chiusura	3	0	4
generalità	14	0	54
litigio	1	0	2
conservatore	1	0	0
disastro	4	2	1
esilio	1	0	3
stabilità	4	0	7
povertà	3	0	11
opposizione	2	0	1
abbandono	2	0	4
dimezzamento	6	0	0
decisione	1	0	0
preti	1	0	0
colpo	1	0	0
follia	2	0	3
sosia	7	0	1
scudetto	4	1	4
stazionarietà	1	0	1
regali	2	0	0
estinzione	2	5	10
contemporaneità	2	1	15
diretta	4	0	0
monopolista	2	0	1
errore	1	0	0
gol	15	1	10
ineluttabilità	1	0	0
papa	1	0	1
eliminazione	7	1	5
testo	1	0	0
compagni	1	0	0
proprietà	2	0	0
azzeramento	4	0	12
suicidio	3	0	1
marito	2	0	3
genitori	1	0	0
coetanei	5	0	0
fallimento	8	3	14
maggioranza	4	2	4
novità	2	0	2
fuga	2	0	1
titolare	3	0	0
artista	1	0	0
obbligatorietà	1	0	0
sicurezza	4	0	15
identità	5	1	6
zona	1	0	0
amicizia	1	1	1
emergenza	1	0	0
discesa	1	0	0
onnipotente	1	0	1
bambino	1	0	0
dittatura	2	0	4
campione	8	0	0
minaccia	2	0	1
saturazione	1	0	7
morte	4	4	2
complicità	2	0	0
vittorie	1	0	0
collisione	1	0	105
inesistenza	6	0	14
battaglia	1	0	0
sparizione	1	0	9
rivoluzione	1	0	1
indipendenza	4	0	7
atto	1	0	0
collana	1	0	0
inevitabilità	1	0	1
pds	1	0	0
rumore	1	0	1
azionisti	1	0	0
primato	1	0	2
mantenimento	1	0	0
regista	1	0	0
menzogna	1	0	1
autogol	5	0	4
retrocessione	2	1	2
letargo	1	0	0
sconfitta	1	0	0
assoluzione	2	0	1
impunità	3	0	7
occupazione	1	0	0
neutralità	1	0	1
polemica	1	0	0
legalità	1	0	0
miliardo	1	0	3
milione	3	0	7
record	3	0	4
candidato	2	0	1
figlia	1	0	1
rissa	6	1	4
terremoto	1	0	1
comitato	1	0	0
trentennale	1	1	0
garanzia	1	0	0
speranza	1	0	0
esterno	1	0	0
marcia	1	0	0
ingresso	1	0	0
sostegno	1	0	0
sole	1	0	0
vino	1	0	0
sindaci	1	0	0
bambini	1	0	0
verità	2	0	2
tolleranza	1	0	0
abbattimento	2	0	0
presidente	4	0	3
esclusione	1	0	2
resa	1	0	0
campioni	6	0	0
inutilità	1	0	9
benessere	1	0	0
promozione	1	0	3
fenomeno	1	0	0
pensionati	1	0	0
ministro	1	0	0
conseguenza	1	0	0
tenerezza	1	0	0
avvocato	1	0	2
sensazione	1	0	0
addio	1	0	0
repubblica	2	0	1
miracolo	2	0	9
no	2	0	0
umiliazione	1	0	0
momento	1	0	0
omonimia	1	1	6
simmetria	1	0	1
necessità	1	0	0
padre	1	0	0
dichiarazione	2	0	1
emarginazione	1	1	0
rigore	2	0	2
scioglimento	1	1	2
premier	1	0	1
abbraccio	3	0	0
cessione	1	0	0
compagno	1	0	1
espulsione	1	0	0
disperazione	1	0	3
vigilia	1	0	3
generale	1	0	1
aggressione	1	0	0
ultimatum	3	0	1
estraneità	1	0	0
laurea	1	1	4
mancanza	1	2	12
mare	1	0	0
trasparenza	1	0	2
parente	2	0	0
esordiente	1	5	45
musical	1	0	3
realtà	1	0	0
esaurimento	1	0	2
condanna	1	0	0
rete	1	0	0
automaticità	1	1	0
smantellamento	1	0	0
sorriso	1	0	0
anno	1	0	1
matrimonio	1	0	1
venti	1	0	1
cadavere	1	1	4
re	1	0	0
signora	1	0	1
diario	1	0	0
bluff	1	0	0
dismissione	1	1	1
pace	1	0	2
flop	1	0	4
democrazia	1	0	0
oscurità	1	0	4
ordine	1	0	1
facoltà	1	0	0
adolescente	1	0	0
settantenne	1	0	1
sciopero	1	1	2
centenario	0	5	4
invisibilità	0	1	4
hit	0	1	1
coetaneo	0	8	16
esclusiva	0	4	2
premio	0	1	1
logica	0	1	1
distruzione	0	2	10
selvaggio	0	1	0
esclusività	0	2	2
annullamento	0	1	2
uguaglianza	0	1	0
disprezzo	0	1	0
figlio	0	1	0
capolavoro	0	1	9
donna	0	1	0
adagio	0	1	0
interezza	0	1	7
completezza	0	1	0
obbligo	0	1	6
velocità	0	1	0
completo	0	1	0
abilità	0	1	0
programma	0	0	59
infinitudine	0	0	39
sacro	0	0	29
sacrificio	0	0	3
globalità	0	0	7
dominio	0	0	1
unicità	0	0	1
neonato	0	0	1
padroni	0	0	1
novantenne	0	0	3
zio	0	0	2
membro	0	0	1
pentito	0	0	1
partito	0	0	2
inizio	0	0	1
insuccesso	0	0	1
pilota	0	0	1
duello	0	0	2
leader	0	0	2
mese	0	0	2
scandalo	0	0	1
soppressione	0	0	1
dopati	0	0	55
mille	0	0	12
coetanea	0	0	6
sinistra	0	0	2
imposta	0	0	1
caos	0	0	4
immediatezza	0	0	4
vescovo	0	0	2
uomo	0	0	3
ritiro	0	0	2
neofita	0	0	2
fallo	0	0	2
letterato	0	0	1
contiguità	0	0	2
play	0	0	2
riduzione	0	0	1
città	0	0	1
ballata	0	0	5
centro	0	0	1
delusione	0	0	1
film	0	0	1
forma	0	0	1
derby	0	0	3
passo	0	0	1
gratuità	0	0	4
omonimi	0	0	8
trentenne	0	0	7
mercato	0	0	2
offensiva	0	0	1
secolo	0	0	2
amori	0	0	2
accettazione	0	0	3
quarantennale	0	0	7
villaggio	0	0	1
divisione	0	0	1
collega	0	0	2
capitale	0	0	2
cult	0	0	1
cappotto	0	0	11
consigliere	0	0	2
sessantenne	0	0	8
equiparazione	0	0	5
vincitori	0	0	1
fine	0	0	6
sufficienza	0	0	3
soggettività	0	0	4
sorpresa	0	0	3
acquisto	0	0	1
intenzionalità	0	0	3
stato	0	0	1
problema	0	0	1
pienezza	0	0	1
conferenza	0	0	3
mente	0	0	1
padrone	0	0	1
giocatori	0	0	2
ritrovamento	0	0	1
leggendari	0	0	1
ruolo	0	0	3
periferia	0	0	1
gruppo	0	0	2
firma	0	0	1
assunzione	0	0	1
bomba	0	0	2
vuoto	0	0	8
leggenda	0	0	1
cattedra	0	0	2
dipendenza	0	0	1
consapevolezza	0	0	1
calma	0	0	1
contratti	0	0	2
cultura	0	0	2
anonimo	0	0	4
interruzione	0	0	1
omogeneità	0	0	1
equivalenza	0	0	3
eguaglianza	0	0	1
solitudine	0	0	2
rarità	0	0	1
genio	0	0	4
pianeta	0	0	1
eroe	0	0	2
mamma	0	0	2
egemonia	0	0	2
atteggiamento	0	0	1
universalità	0	0	3
fastidio	0	0	1
bambina	0	0	1
contratto	0	0	1
dialogo	0	0	1
storia	0	0	1
liberalizzazione	0	0	1
somiglianza	0	0	1
merce	0	0	2
caduta	0	0	2
infallibilità	0	0	1
perfetta	0	0	2
raggiungimento	0	0	1
rassegnazione	0	0	3
fratello	0	0	3
giornalista	0	0	1
sperimentazione	0	0	1
opera	0	0	1
lettore	0	0	1
perdita	0	0	3
lavoro	0	0	1
depenalizzazione	0	0	6
santo	0	0	1
artisticità	0	0	2
riforma	0	0	1
crescita	0	0	1
segreto	0	0	1
notte	0	0	1
completamento	0	0	4
trasferimento	0	0	1
moglie	0	0	1
compleanno	0	0	2
vertice	0	0	1
identificazione	0	0	2
costanza	0	0	2
ottuagenario	0	0	2
montagna	0	0	2
governo	0	0	1
origine	0	0	1
diffidenza	0	0	3
neonata	0	0	2
tragedia	0	0	2
mercati	0	0	1
seguito	0	0	1
adozione	0	0	1
guerre	0	0	1
raffreddore	0	0	2
difesa	0	0	1
indispensabilità	0	0	1
anziani	0	0	2
medaglia	0	0	1
morti	0	0	1
estinto	0	0	3
luce	0	0	3
alienazione	0	0	3
giorno	0	0	1
scontro	0	0	1
cibo	0	0	1
vita	0	0	1
stelle	0	0	1
quadro	0	0	1
colleghi	0	0	2
impresa	0	0	1
scena	0	0	1
isolamento	0	0	2
buio	0	0	2
concerto	0	0	1
religione	0	0	1
inedito	0	0	1
cancellazione	0	0	2
ventunenne	0	0	1
retrocesso	0	0	1
privatizzazione	0	0	2
ragazzo	0	0	1
concorrenza	0	0	1
coscienza	0	0	1
vecchietti	0	0	1
amore	0	0	1
stop	0	0	1
creazione	0	0	1
marginalità	0	0	1
palazzo	0	0	1
liquido	0	0	2
rabbia	0	0	1
dolore	0	0	1
autonomia	0	0	1
uomini	0	0	1
ordinarietà	0	0	1
società	0	0	5
lettera	0	0	1
grado	0	0	1
tendenza	0	0	1
imposizione	0	0	1
citazione	0	0	1
cardinale	0	0	1
jazz	0	0	2
figlie	0	0	1
risoluzione	0	0	1
separazione	0	0	1
ragione	0	0	1
rimpianto	0	0	1
qualificazione	0	0	2
studio	0	0	1
testata	0	0	1
giudizio	0	0	1
professioni	0	0	1
sinfonia	0	0	1
esperienza	0	0	1
professionista	0	0	2
sguardo	0	0	1
prevalenza	0	0	1
colonna	0	0	1
preoccupazione	0	0	1
categoria	0	0	1
gigante	0	0	1
lingua	0	0	2
tormentone	0	0	1
richiesta	0	0	1
persona	0	0	1
evento	0	0	1
struttura	0	0	1
libertà	0	0	1
