NOUN	REPUBBLICA	WIKICONLL	ITWAC
anziana	6	0	2
rituale	11	0	0
note	14	0	5
amica	1	0	0
quotidiani	7	0	0
scomparsa	5	8	27
vecchio	1	2	0
sindaco	1	0	1
finta	1	0	0
fuorilegge	1	0	1
generale	1	0	0
parlamentare	1	0	0
ridicolo	1	0	0
maggioranza	1	0	0
ministro	1	0	0
avversario	1	0	0
pensionato	1	2	5
certezza	2	0	0
trentennale	1	1	4
estinto	1	7	3
antico	1	0	0
porta	1	0	0
quotidiano	1	0	0
professore	1	0	0
retrocesso	2	0	5
compromessi	1	0	0
onnipotente	1	0	0
solito	1	0	10
nota	1	0	25
piccolo	1	0	0
quarantennale	1	0	5
caduta	0	1	0
caratteristica	0	1	0
anziani	0	8	2
figlia	0	1	0
duca	0	1	0
cult	0	1	8
forze	0	1	0
colonnello	0	1	1
compromesso	0	2	3
luogo	0	1	2
amico	0	1	4
mancanza	0	1	6
maturo	0	3	0
passato	0	1	3
storico	0	5	3
imperatore	0	1	0
fidanzato	0	1	0
regina	0	1	0
leggenda	0	1	0
collega	0	1	0
compianto	0	0	5
classici	0	0	30
novantenne	0	0	4
santo	0	0	2
fantasma	0	0	1
classiche	0	0	10
esausto	0	0	5
famigerato	0	0	12
settantenne	0	0	3
conclusione	0	0	1
attesa	0	0	7
affezionato	0	0	4
mitica	0	0	17
singolo	0	0	2
quindicenne	0	0	2
decine	0	0	1
vuoto	0	0	2
defunta	0	0	18
tormentone	0	0	2
adulto	0	0	4
affezionati	0	0	1
fidato	0	0	2
sessantaduenne	0	0	4
trentenne	0	0	2
testo	0	0	1
albero	0	0	1
punto	0	0	1
venti	0	0	1
pietra	0	0	1
celeberrima	0	0	11
leggendaria	0	0	12
ventenne	0	0	1
sobrio	0	0	1
becero	0	0	1
star	0	0	2
presidente	0	0	1
nemico	0	0	1
deceduto	0	0	4
decotta	0	0	6
attrice	0	0	1
ore	0	0	1
leader	0	0	3
familiari	0	0	4
film	0	0	2
anziane	0	0	2
paesaggio	0	0	1
segretario	0	0	1
ottuagenario	0	0	2
tradizioni	0	0	1
saturazione	0	0	1
noioso	0	0	1
centenario	0	0	7
comuni	0	0	1
ex-presidente	0	0	5
sessantenne	0	0	1
cittadino	0	0	1
esperto	0	0	3
maestro	0	0	1
membro	0	0	1
sbandati	0	0	1
morti	0	0	1
raro	0	0	1
milioni	0	0	3
migliaia	0	0	5
tempo	0	0	4
cardinale	0	0	1
canonico	0	0	1
leggendari	0	0	7
coppia	0	0	1
rilevanza	0	0	1
centinaia	0	0	3
banale	0	0	2
età	0	0	1
tema	0	0	1
gol	0	0	1
monopolio	0	0	1
terra	0	0	1
impossibilità	0	0	2
signora	0	0	1
forum	0	0	1
tradizione	0	0	1
portavoce	0	0	1
compagno	0	0	1
governo	0	0	1
socio	0	0	1
padroni	0	0	2
donna	0	0	1
ragazzo	0	0	1
immagine	0	0	1
uso	0	0	1
ambiti	0	0	1
caratteristiche	0	0	1
debole	0	0	1
ventunenne	0	0	1
ultra	0	0	1
dubbi	0	0	1
deputato	0	0	1
simbolo	0	0	1
scoperta	0	0	1
vincitore	0	0	1
appiattimento	0	0	1
presenza	0	0	1
pentito	0	0	1
pomeriggio	0	0	1
ambito	0	0	1
parte	0	0	1
adolescente	0	0	3
prodotti	0	0	1
ridotto	0	1	0
maggiorenne	0	1	0
completo	0	0	1
mille	0	0	1
single	0	0	1
estraneità	0	0	1
spettatori	0	0	1
filo	0	0	1
marginalità	0	0	1
mondo	0	0	1
moda	0	0	1
mal	0	0	1
isolato	0	0	1
