NOUN	WIKICONLL	REPUBBLICA	ITWAC
negoziato	0	14	3
mister	0	1	0
decreto	0	2	3
negoziati	0	1	9
emergenza	8	1	48
print	2	1	50
pensionamenti	0	155	30
pensionamento	4	46	60
deduzione	0	1	0
walter	0	1	0
indagine	0	6	12
moderna	1	1	0
giudizi	1	7	122
condizioni	3	52	147
rissa	0	1	0
gorbaciov	0	6	0
femminista	0	2	6
riforma	4	11	81
aumento	0	5	0
finale	0	3	32
vertice	1	25	58
elettorale	1	28	0
trattative	0	3	0
pensioni	0	2	0
aids	1	28	1
festival	1	8	13
pentitismo	0	1	0
avanguardia	0	1	0
broadway	0	2	0
conferenza	1	5	503
orfani	0	1	0
view	0	2	0
colloquio	0	2	37
campionato	44	41	146
esplorazione	0	1	0
selezioni	5	5	29
parere	0	3	3
precettazione	0	1	0
volo	5	1	36
requisito	5	19	187
allarme	1	40	101
de	0	2	0
rivoluzione	2	14	22
incontro	0	6	10
industriale	0	3	0
dibattito	0	3	0
concetti	1	1	35
fascista	1	3	4
francoforte	0	1	0
futurista	0	2	0
derby	0	4	20
serie	87	5	50
riunione	0	9	12
accordo	2	73	91
crisi	64	38	36
summit	0	4	4
requisiti	5	12	322
finanziamenti	0	1	2
contratto	10	24	266
mundial	0	3	0
mondiali	1	11	2
trapianto	2	1	32
natale	1	4	5
vacanze	0	1	7
fallimento	0	3	5
umani	0	1	0
congressi	0	3	3
condizione	5	65	244
confezioni	0	1	0
sigla	1	2	1
relazione	0	39	8
produzione	281	22	380
pasquale	0	2	0
kitsch	0	2	0
sanremo	0	2	1
sessantottino	0	1	2
allerta	0	9	40
spagna	0	1	0
agricola	0	1	0
brecht	0	1	0
consuntivo	0	19	36
testo	0	9	71
make	0	1	0
refrigerazione	0	1	1
sarajevo	0	1	0
dialogo	0	1	0
woody	0	1	0
hippie	0	3	0
colonnelli	0	1	0
lavorazione	1	3	0
detenuto	0	2	0
cinema	1	5	26
infarto	0	6	2
e	0	1	1
hiroshima	0	1	0
ospedalizzazione	0	2	3
progetti	0	2	3
operazione	0	3	2
sovietici	0	1	0
mondiale	1	18	2
cantiere	0	4	0
consuntivi	0	2	6
maoista	0	1	0
elettorali	1	13	0
coma	0	3	5
gara	29	11	208
tattica	0	8	12
riallineamento	0	1	0
pensionato	0	6	2
viaggio	0	1	5
rinascimento	0	2	1
impressionista	0	1	0
intesa	0	29	111
staffetta	0	1	0
sila	3	6	2
arringa	0	1	0
ferie	0	5	17
surrealismo	0	2	0
appuntamento	0	1	3
tasse	0	10	31
chernobyl	0	2	0
costituzione	0	1	10
cristiani	9	3	1
maturità	0	2	2
post	1	2	73
gravidanza	0	2	14
novecento	1	1	0
verdi	0	1	0
libretto	0	1	0
offerte	0	6	2
dibattimento	0	2	0
comitato	0	3	3
berlusconiano	0	1	1
vendita	6	8	48
liberty	0	1	0
esame	0	13	1559
montaggi	0	2	0
scenes	0	1	0
serale	4	12	9
congresso	1	11	9
sondaggio	0	5	1
romanticismo	1	3	6
