NOUN	REPUBBLICA	WIKICONLL	ITWAC
alternativa	2	0	7
x	3	0	0
le	3	0	0
grazie	0	1	0
santa	0	1	0
rispetto	0	1	0
difficoltà	0	0	5
attesa	0	0	4
costo	0	0	2
articoli	0	0	1
nome	0	0	1
autore	0	0	3
scuola	0	0	2
divise	0	0	1
allarme	0	0	3
rimpianto	0	0	1
onde	0	0	2
signor	0	0	1
visto	0	0	3
scala	0	0	6
capelli	0	0	1
piste	0	0	19
promessa	0	0	3
internet	0	0	2
tempo	0	0	3
incontro	0	0	1
consiglio	0	0	2
sabato	0	0	2
gamberetti	0	0	1
distribuzione	0	0	1
calma	0	0	4
addio	0	0	2
profilo	0	0	1
ragazzi	0	0	2
mercoledì	0	0	3
stesura	0	0	1
campione	0	0	1
territorio	0	0	1
limite	0	0	1
signore	0	0	1
scomparsa	0	0	1
baby	0	0	9
amore	0	0	5
serrata	0	0	1
coll	0	0	2
luogo	0	0	2
conto	0	0	1
pensata	0	0	1
euro	0	0	3
spesa	0	0	3
proposta	0	0	1
casa	0	0	3
strumenti	0	0	1
piacere	0	0	3
polizia	0	0	1
suono	0	0	2
possibilità	0	0	1
indirizzo	0	0	1
corrente	0	0	2
luce	0	0	2
cose	0	0	1
spot	0	0	1
raffreddore	0	0	1
laboratorio	0	0	2
passo	0	0	1
martedì	0	0	1
ritiro	0	0	1
servizio	0	0	1
commento	0	0	1
amori	0	0	1
richiesta	0	0	1
domenica	0	0	1
man	0	0	1
video	0	0	1
punto	0	0	1
modello	0	0	1
ritorno	0	0	1
dio	0	0	1
guida	0	0	1
giornata	0	0	1
pag.	0	0	1
effetti	0	0	1
link	0	0	1
argomenti	0	0	1
ri	0	0	1
regina	0	0	1
giovedì	0	0	1
ore	0	0	1
confronto	0	0	1
tema	0	0	1
soldi	0	0	1
