NOUN	WIKICONLL	REPUBBLICA	ITWAC
ministro	44	391	402
cinema	5	12	29
cen	0	1	0
militanti	7	22	0
lotta	0	13	4
capo	50	211	160
consigliere	7	129	35
numero	3	16	10
giudice	5	20	22
avversari	4	7	6
marito	118	64	145
segretario	24	175	98
presidente	137	693	725
dirigente	1	59	50
funzionario	3	29	14
capi	2	14	9
amministratori	1	36	7
operaisti	0	1	1
enfant	0	8	4
interprete	0	3	0
senatore	11	98	37
amanti	1	10	18
provveditore	0	3	3
collaboratori	5	13	9
deportati	5	5	56
dipendente	5	19	49
montesi	0	4	0
giudici	1	2	27
direttore	31	205	161
vicepresidenti	0	3	1
funzionari	2	28	16
vicepresidente	4	63	34
attore	6	27	26
picchiatore	0	1	0
colleghi	16	32	77
commissario	2	5	16
comunisti	16	128	107
deputato	8	46	39
poliziotti	2	6	35
ingegnere	2	4	3
terroristi	0	22	21
amministratore	4	31	14
alunno	4	5	23
braccio	1	37	11
dirigenti	7	26	47
cittadina	0	2	0
via	1	5	2
regina	17	14	10
sindaco	23	125	124
spioni	0	1	0
capitale	11	32	17
compagno	93	45	97
alto	0	6	0
degenti	0	3	13
dipendenti	9	27	74
professore	12	18	34
comprensorio	0	1	0
ceat	0	1	7
guerriglieri	1	4	19
disegnatore	0	1	3
allievi	34	19	217
missini	0	2	1
zona	4	1	15
machina	2	14	1
responsabile	0	15	20
polveriera	2	2	6
socio	7	19	24
importatore	0	1	0
moglie	172	112	338
ballerina	4	4	14
allenatore	28	17	16
gruppo	5	8	58
iscritti	0	2	2
radicali	1	1	3
cassa	0	5	0
negoziatore	0	7	0
motta	0	3	0
alemagna	0	1	0
pilota	30	16	35
voto	200	43	378
assessore	2	55	28
spa	0	1	0
campo	5	4	18
principe	1	1	1
ufficiali	8	14	31
luton	0	1	0
sir	1	4	1
combattenti	30	35	199
re	12	22	36
amici	6	22	40
ss	1	5	14
gaumont	0	2	0
sindacalista	0	13	14
campione	51	89	54
mago	0	3	4
impero	14	51	35
ambasciatore	4	69	46
cantante	30	6	25
programmatore	1	1	3
nouvelle	0	1	0
boxeur	1	1	0
militari	17	5	43
manager	10	17	26
capitano	26	13	29
ufficiale	12	31	42
boss	3	20	5
cameriere	2	6	1
gestore	0	1	6
azzurro	0	1	0
cancelliere	5	17	29
legale	0	3	0
partner	9	13	17
fan	0	2	4
siemens	0	1	0
maresciallo	1	6	3
fattorino	1	1	0
piloti	4	5	5
bracciante	0	1	3
sessantottini	0	14	30
procuratore	1	29	16
scienziato	2	2	0
chic	0	2	0
marine	13	39	25
alunni	16	8	80
first	2	17	1
partigiano	2	7	9
paziente	2	5	3
berretto	0	2	1
cappellano	0	1	2
ostaggi	1	6	24
detenuti	13	26	110
firma	0	1	1
adepti	0	3	3
ferroviere	0	1	5
beatle	21	28	23
leader	24	94	100
nazista	1	5	1
colonnello	5	34	39
segretaria	4	20	4
colonia	31	42	131
mariti	1	5	5
giovane	0	3	32
corridore	1	2	11
saltatore	0	4	1
agente	62	64	68
novo	197	30	119
musicista	1	1	6
aequo	12	28	0
ragazzina	0	2	7
lc	0	9	1
presentatore	0	4	0
padroni	2	4	6
amante	31	43	50
difensore	1	6	2
studentessa	2	5	6
appartenenti	8	4	10
fossati	0	3	0
natali	0	1	0
ventenni	0	1	0
allievo	20	19	42
penelope	0	1	0
pupillo	0	3	11
componenti	27	7	19
bot	0	1	0
parlamentare	2	23	6
sottosegretario	0	32	15
vicesindaco	0	5	8
componente	10	4	10
juventini	0	2	3
collaboratore	8	33	21
killer	2	2	12
marines	0	4	10
attrice	9	9	21
direttori	1	7	4
agenti	12	18	19
presidenti	17	43	57
cabassi	0	1	0
prete	10	4	17
libraio	0	1	0
ritmo	0	1	0
panda	0	1	0
redattore	1	3	7
comandante	12	42	50
pistolero	3	2	2
dorotei	0	1	0
ministri	4	45	25
