NOUN	REPUBBLICA	WIKICONLL	ITWAC
compianto	1	0	0
complessi	7	0	0
armi	1	0	0
grasso	1	0	3
impersonale	1	0	0
poveri	1	0	1
piccolo	1	0	0
promessa	1	0	0
tesi	1	0	0
stretta	0	6	10
potenti	0	1	0
serrata	0	1	1
acuto	0	1	0
attaccamento	0	1	0
sofisticate	0	0	14
spinta	0	0	32
isolato	0	0	2
brava	0	0	14
attenzione	0	0	1
conservatore	0	0	1
incisivo	0	0	1
banale	0	0	2
utenti	0	0	1
sorprendente	0	0	4
raffinate	0	0	1
debole	0	0	1
entusiasta	0	0	4
neo	0	0	1
buono	0	0	1
pessimista	0	0	1
mal	0	0	2
re	0	0	1
affezionato	0	0	1
commerciabilità	0	0	2
programmi	0	0	1
scatenato	0	0	2
nota	0	0	1
raro	0	0	2
complesso	0	0	1
capacità	0	0	1
volontà	0	0	1
richiesta	0	0	1
comodo	0	0	1
largo	0	0	1
persone	0	0	1
ottimo	0	0	2
utilizzo	0	0	1
richieste	0	0	1
rapido	0	0	1
complicata	0	0	1
interesse	0	0	1
isolamento	0	0	1
