NOUN	WIKICONLL	REPUBBLICA	ITWAC
borghesia	0	4	12
milionario	0	2	1
beat	0	1	0
distensione	0	1	0
presidente	42	460	378
liberalismo	4	10	65
capitalismo	1	20	26
realismo	6	38	54
fascisti	2	42	6
gollisti	0	50	2
separatismo	0	3	0
ricco	0	1	0
pentito	0	9	0
liberismo	0	37	288
centrismo	0	18	12
fascismo	1	25	35
autoritarismo	0	5	11
marxista	2	1	0
psichedelia	5	5	4
elettori	0	3	4
liberale	0	7	0
nazisti	4	77	68
natale	0	1	2
tatuaggio	0	1	0
classicismo	12	15	21
integralismo	0	4	2
centralismo	0	6	68
amministratore	0	33	8
illuministi	0	3	6
razionalisti	0	1	0
campione	19	20	35
campioni	4	14	11
eletto	33	62	213
deputata	0	4	0
consiglieri	0	22	6
cardinali	0	2	2
capitalista	0	3	1
cardinale	0	10	3
liberali	2	11	40
classicista	1	4	1
direttore	8	116	73
sottosegretario	0	19	14
tecnico	6	3	20
consigliere	0	25	19
fascista	0	9	5
espressionismo	5	15	16
professionista	2	10	12
capitano	6	2	6
contrattualismo	0	4	13
conservatorismo	2	6	32
patriarcato	0	1	0
senatore	4	44	11
segretario	3	86	34
interista	0	1	7
promosso	14	10	11
bipolarismo	0	2	0
ambasciatore	0	27	7
ortodossia	1	3	0
partner	0	1	2
sindaco	3	69	58
banchieri	0	1	0
promosse	2	9	0
stalinista	0	2	0
marxismo	0	4	13
nazista	4	16	56
primatista	0	4	5
classica	1	6	0
barone	1	1	1
autore	0	1	7
sionismo	0	1	0
eletta	1	9	6
regista	1	24	22
reginetta	0	2	3
meridionalismo	0	2	0
signor	0	1	0
empirismo	0	1	5
ministro	2	272	164
professionisti	3	6	10
conservatori	3	15	270
avanguardia	7	43	70
romanticismo	5	4	16
impressionismo	2	3	20
milionari	0	2	1
eletti	4	21	67
erotismo	0	1	0
acquisto	23	31	68
nazionalismo	0	16	8
amleto	0	1	0
vicepresidente	1	16	7
deputati	0	5	7
antisemitismo	0	2	4
premio	0	8	3
liberisti	2	13	19
privatizzazione	0	1	0
protezionismo	0	4	8
umanesimo	0	6	11
individualismo	0	4	2
fondazione	0	1	2
investitura	0	1	0
ballerina	0	1	0
industriale	0	3	0
fasciste	0	1	2
globalismo	0	1	2
università	0	1	1
darwinismo	3	3	24
proprietario	1	6	3
diplomati	0	20	86
tv	1	11	12
questori	0	1	0
gollismo	1	6	3
medico	0	2	1
gollista	0	37	2
conservatore	0	9	54
principessa	0	4	3
opposizione	0	1	1
manager	0	5	1
signora	0	4	3
alleati	1	5	1
maggioranza	0	2	2
dottoressa	0	1	13
pensionati	0	4	9
laureati	4	54	432
creatori	0	1	0
punk	0	5	0
bop	0	2	0
iscritto	0	3	4
politica	0	1	4
radicale	0	1	0
promossi	2	3	5
destra	1	1	2
assunti	0	51	433
socio	0	3	4
azionisti	0	9	0
rococò	0	5	0
imperatrice	0	2	0
assessore	1	21	55
yuppies	0	4	0
dogmatismo	0	1	1
liberista	1	11	25
padre	0	6	6
riformismo	0	3	4
leader	1	19	11
attori	0	1	3
conservatrice	0	3	3
comunione	0	1	0
verdi	0	1	0
capogabinetto	0	1	0
programmatori	0	1	2
socialisti	1	4	4
socialista	0	6	0
donne	0	1	1
liberty	1	2	0
surrealisti	0	1	0
nata	11	2	0
elette	1	2	1
titolare	0	1	0
juventini	0	1	0
indifferenza	0	1	0
giornalismo	0	1	3
informazione	0	1	0
metafisico	0	1	0
deputato	1	22	11
riformisti	0	2	4
borghese	0	1	0
azionista	0	4	1
barocca	1	2	0
candidati	0	1	2
epigoni	0	1	0
realisti	2	4	3
formazioni	0	1	7
moglie	8	7	7
ministri	0	18	6
cubismo	2	12	0
pragmatismo	2	2	6
avanguardie	4	10	39
divismo	0	1	0
gruppo	1	2	1
esistenzialismo	0	1	0
coniugi	1	3	2
barocco	0	2	0
marito	11	7	12
nobel	0	3	0
commissario	0	19	28
rettore	0	1	1
colonialismo	6	10	84
integralisti	0	1	0
qualunquista	0	2	0
qualunquisti	0	4	0
mecenati	0	2	0
consiglio	0	1	0
qualunquismo	0	1	2
bayreuth	0	1	0
conformismo	0	2	1
cavaliere	1	3	6
oppositori	0	3	0
misticismo	0	1	7
impressionisti	2	5	11
parlamentari	0	5	2
rinascimento	3	3	7
dottore	0	10	15
miliardari	0	7	1
mecenate	0	1	0
protestantesimo	0	1	4
poeta	0	1	1
europeismo	0	2	0
puritanesimo	0	3	0
romantica	0	2	0
capo	0	17	10
gotico	4	1	0
governo	1	4	13
moralismo	0	5	0
autori	0	1	1
razzismo	0	5	8
segretari	0	1	0
compromesso	0	1	0
nazismo	0	12	14
documentari	0	1	0
cineasti	0	1	2
san	0	1	0
sindacato	0	2	0
iscritti	0	4	28
giornalista	0	2	3
comandante	0	3	6
mamma	1	14	99
alto	1	1	0
prefetto	0	4	6
recordman	0	3	0
isolazionismo	0	7	9
kitsch	0	3	0
responsabile	0	13	10
premier	2	62	43
platonismo	8	3	20
inquilino	0	3	0
televisione	0	7	16
stato	2	2	0
giacobini	2	2	1
idealismo	2	5	29
hegelismo	0	1	5
agenti	0	1	1
testosterone	0	2	0
imprenditore	0	5	46
taylorismo	0	2	2
corporativismo	0	5	16
hippies	0	3	5
laureato	0	10	95
questo	0	1	0
nominato	3	10	0
pro	0	14	0
stalinismo	1	2	1
lance	0	2	0
assunto	4	7	127
neorealismo	2	27	7
romantico	0	2	3
illuminismo	0	6	15
contabili	0	1	0
parlamentarismo	0	5	1
italiano	0	6	1
magistrati	0	2	1
povertà	0	1	0
mandarini	0	1	0
parlamentare	0	7	0
divo	0	1	5
padrone	0	4	2
allenatore	15	4	16
classico	1	7	0
coreografo	0	1	0
liberal	0	3	8
clericalismo	0	1	10
decisionismo	0	2	0
anima	0	1	0
giuseppe	0	1	0
cittadino	0	2	3
paganesimo	4	7	42
custode	0	2	0
piloti	0	2	0
madre	0	4	3
doroteo	0	1	0
dottori	0	2	19
