NOUN	WIKICONLL	ITWAC	REPUBBLICA
ministro	44	402	391
cinema	5	29	12
cen	0	0	1
militanti	7	0	22
lotta	0	4	13
capo	50	160	211
consigliere	7	35	129
numero	3	10	16
giudice	5	22	20
avversari	4	6	7
marito	118	145	64
segretario	24	98	175
presidente	137	725	693
dirigente	1	50	59
funzionario	3	14	29
capi	2	9	14
amministratori	1	7	36
operaisti	0	1	1
enfant	0	4	8
interprete	0	0	3
senatore	11	37	98
amanti	1	18	10
provveditore	0	3	3
collaboratori	5	9	13
deportati	5	56	5
dipendente	5	49	19
montesi	0	0	4
giudici	1	27	2
direttore	31	161	205
vicepresidenti	0	1	3
funzionari	2	16	28
vicepresidente	4	34	63
attore	6	26	27
picchiatore	0	0	1
colleghi	16	77	32
commissario	2	16	5
comunisti	16	107	128
deputato	8	39	46
poliziotti	2	35	6
ingegnere	2	3	4
terroristi	0	21	22
amministratore	4	14	31
alunno	4	23	5
braccio	1	11	37
dirigenti	7	47	26
cittadina	0	0	2
via	1	2	5
regina	17	10	14
sindaco	23	124	125
spioni	0	0	1
capitale	11	17	32
compagno	93	97	45
alto	0	0	6
degenti	0	13	3
dipendenti	9	74	27
professore	12	34	18
comprensorio	0	0	1
ceat	0	7	1
guerriglieri	1	19	4
disegnatore	0	3	1
allievi	34	217	19
missini	0	1	2
zona	4	15	1
machina	2	1	14
responsabile	0	20	15
polveriera	2	6	2
socio	7	24	19
importatore	0	0	1
moglie	172	338	112
ballerina	4	14	4
allenatore	28	16	17
gruppo	5	58	8
iscritti	0	2	2
radicali	1	3	1
cassa	0	0	5
negoziatore	0	0	7
motta	0	0	3
alemagna	0	0	1
pilota	30	35	16
voto	200	378	43
assessore	2	28	55
spa	0	0	1
campo	5	18	4
principe	1	1	1
ufficiali	8	31	14
luton	0	0	1
sir	1	1	4
combattenti	30	199	35
re	12	36	22
amici	6	40	22
ss	1	14	5
gaumont	0	0	2
sindacalista	0	14	13
campione	51	54	89
mago	0	4	3
impero	14	35	51
ambasciatore	4	46	69
cantante	30	25	6
programmatore	1	3	1
nouvelle	0	0	1
boxeur	1	0	1
militari	17	43	5
manager	10	26	17
capitano	26	29	13
ufficiale	12	42	31
boss	3	5	20
cameriere	2	1	6
gestore	0	6	1
azzurro	0	0	1
cancelliere	5	29	17
legale	0	0	3
partner	9	17	13
fan	0	4	2
siemens	0	0	1
maresciallo	1	3	6
fattorino	1	0	1
piloti	4	5	5
bracciante	0	3	1
sessantottini	0	30	14
procuratore	1	16	29
scienziato	2	0	2
chic	0	0	2
marine	13	25	39
