NOUN	WIKICONLL	ITWAC	REPUBBLICA
soluzioni	0	18	2
scissione	0	0	1
necessità	0	1	1
polipo	0	1	3
filosofie	0	3	1
psicologo	0	0	1
obiettività	0	2	2
borghesia	0	3	1
unione	0	0	1
demenza	0	6	4
proprietario	0	0	1
turisti	0	3	1
esperimenti	0	0	1
valori	0	28	3
rivoluzionari	1	1	1
dimissioni	0	1	1
culture	0	0	1
idee	0	1	1
artigiani	0	2	1
teatro	0	0	1
scientismo	0	0	1
musical	0	1	1
racconti	0	0	1
scienza	6	69	7
riforme	0	15	2
ecologi	0	0	1
vagina	1	0	2
dramma	0	0	1
luoghi	0	0	1
buffet	0	0	1
eva	0	0	1
teppisti	0	0	1
punk	1	0	1
avvenimento	0	0	1
agenzia	1	0	1
accordi	0	0	3
storicista	0	0	1
presidenti	0	0	1
intellettuali	0	40	4
rappresentanti	0	0	1
longino	3	0	4
negoziato	0	0	1
eventi	0	9	1
inno	0	1	1
problemi	3	11	2
storia	7	8	1
democrazia	0	26	5
hostess	0	0	1
partigiani	0	1	1
civiltà	0	1	1
realtà	0	10	2
riforma	1	22	3
concetti	1	9	2
adidas	0	0	1
tudor	0	0	1
argomenti	0	3	1
milanese	0	1	1
lettura	0	1	1
indagine	0	3	1
libri	0	1	2
problema	2	19	2
imprenditoria	0	0	1
dionigi	30	30	6
olivetti	0	0	1
volontari	0	0	1
imposte	0	0	1
generale	0	0	1
legittimità	0	0	1
spot	0	0	1
tifosi	0	35	6
magnate	0	0	1
imprenditori	0	9	2
comunismo	0	1	2
futurista	0	0	1
romanzo	0	4	2
movimento	0	0	1
letteratura	0	2	1
scienziata	0	0	1
informazione	0	9	1
cultura	1	28	6
comunicazione	0	7	2
patriottismo	0	0	1
progressisti	0	2	1
abbas	0	0	1
dean	0	0	1
regole	0	1	2
documentario	1	7	2
golpisti	0	0	1
lingua	2	0	1
attori	1	6	1
democratici	0	0	1
crisi	0	19	2
liberty	0	0	1
culturali	0	0	2
redattori	0	0	1
rap	0	0	2
varietà	0	1	1
ideatore	0	0	1
diritti	0	3	1
poeta	0	2	1
seneca	7	0	2
manierista	0	0	1
amico	0	0	1
teppista	0	0	1
rossini	0	0	1
cure	0	0	1
avvenimenti	0	0	1
stile	0	1	1
religiosa	0	0	1
parlamentarismo	0	0	5
parlamentare	0	0	1
confessione	0	0	1
trappole	0	0	1
empirismo	0	0	1
monumenti	0	0	1
meccanica	0	0	1
moratoria	0	0	1
esperti	0	20	2
vendite	0	0	1
discoteche	0	0	1
progetti	0	0	1
manager	0	2	1
sinistra	1	9	3
sé	0	0	1
ambientalisti	0	10	1
capitalismo	0	0	3
antropologia	0	1	1
cambiamento	0	0	1
vittoria	0	1	1
scienze	10	20	1
hip	0	0	1
garantismo	0	0	2
stato	0	7	2
privato	0	4	1
miglio	0	0	2
motivazioni	0	0	1
alleanza	0	1	2
notizia	0	5	2
teorie	0	5	1
sportiva	0	0	1
confessioni	0	0	1
controlli	0	2	1
intervista	0	3	3
ricostruzioni	0	0	2
mussolini	0	0	1
events	0	0	1
verità	0	9	2
terzi	0	0	1
rivoluzione	0	2	2
castiglioni	0	0	1
interprete	0	0	1
interpreti	0	0	1
chiambretti	0	0	1
metropoli	0	0	1
fascisti	0	0	1
filosofia	0	17	1
noir	0	0	1
clericali	0	0	1
attualità	0	0	1
scientifiche	0	0	1
categoria	0	2	1
cattolici	0	1	1
consigli	0	1	2
vip	1	4	1
