NOUN	WIKICONLL	ITWAC	REPUBBLICA
vecchio	1	0	13
tory	0	0	1
pignone	0	0	1
bruzzano	0	0	1
nuovo	0	0	2
la	0	0	1
il	1	0	2
wien	0	0	2
psi	1	2	0
atena	1	0	0
messico	1	0	0
ragazzo	1	0	0
insediamento	1	0	0
wilson	1	0	0
tipo	0	1	0
realismo	0	1	0
cucciolo	0	1	0
continente	0	1	0
ritorno	0	2	0
modo	0	1	0
segretario	0	1	0
circo	0	1	0
nome	0	1	0
valore	0	3	0
recupero	0	1	0
vita	0	1	0
forum	0	1	0
teatro	0	1	0
nuova	0	0	2
dimensione	0	0	1
stadio	0	0	1
vecchia	0	0	6
unità	0	0	2
pomerania	0	0	1
milano	0	0	1
dc	0	0	1
ulma	7	0	0
lingotto	1	0	0
chieti	1	0	0
gruppo	1	0	0
russia	1	0	0
sinistra	0	4	0
destra	0	1	0
regola	0	1	0
economia	0	2	0
mente	0	4	0
giunta	0	1	0
integrazione	0	2	0
evangelizzazione	0	3	0
sede	0	1	0
finestra	0	5	0
arte	0	2	0
amici	0	0	1
area	0	0	1
ambra	0	0	1
base	0	1	0
novità	0	1	0
normative	0	1	0
vecchi	0	0	2
nuovi	1	0	1
uomini	0	2	0
partiti	0	1	0
volti	0	1	0
registi	0	1	0
lavori	0	1	0
