NOUN	WIKICONLL	ITWAC	REPUBBLICA
negoziato	0	3	14
mister	0	0	1
decreto	0	3	2
negoziati	0	9	1
emergenza	8	48	1
print	2	50	1
pensionamenti	0	30	155
pensionamento	4	60	46
deduzione	0	0	1
walter	0	0	1
indagine	0	12	6
moderna	1	0	1
giudizi	1	122	7
condizioni	3	147	52
rissa	0	0	1
gorbaciov	0	0	6
femminista	0	6	2
riforma	4	81	11
aumento	0	0	5
finale	0	32	3
vertice	1	58	25
elettorale	1	0	28
trattative	0	0	3
pensioni	0	0	2
aids	1	1	28
festival	1	13	8
pentitismo	0	0	1
avanguardia	0	0	1
broadway	0	0	2
conferenza	1	503	5
orfani	0	0	1
view	0	0	2
colloquio	0	37	2
campionato	44	146	41
esplorazione	0	0	1
selezioni	5	29	5
parere	0	3	3
precettazione	0	0	1
volo	5	36	1
requisito	5	187	19
allarme	1	101	40
de	0	0	2
rivoluzione	2	22	14
incontro	0	10	6
industriale	0	0	3
dibattito	0	0	3
concetti	1	35	1
fascista	1	4	3
francoforte	0	0	1
futurista	0	0	2
derby	0	20	4
serie	87	50	5
riunione	0	12	9
accordo	2	91	73
crisi	64	36	38
summit	0	4	4
requisiti	5	322	12
finanziamenti	0	2	1
contratto	10	266	24
mundial	0	0	3
mondiali	1	2	11
trapianto	2	32	1
natale	1	5	4
vacanze	0	7	1
fallimento	0	5	3
umani	0	0	1
congressi	0	3	3
condizione	5	244	65
confezioni	0	0	1
sigla	1	1	2
relazione	0	8	39
produzione	281	380	22
pasquale	0	0	2
kitsch	0	0	2
sanremo	0	1	2
sessantottino	0	2	1
allerta	0	40	9
spagna	0	0	1
agricola	0	0	1
brecht	0	0	1
consuntivo	0	36	19
testo	0	71	9
make	0	0	1
refrigerazione	0	1	1
sarajevo	0	0	1
dialogo	0	0	1
woody	0	0	1
hippie	0	0	3
colonnelli	0	0	1
lavorazione	1	0	3
detenuto	0	0	2
cinema	1	26	5
infarto	0	2	6
e	0	1	1
hiroshima	0	0	1
ospedalizzazione	0	3	2
progetti	0	3	2
operazione	0	2	3
sovietici	0	0	1
mondiale	1	2	18
cantiere	0	0	4
consuntivi	0	6	2
maoista	0	0	1
elettorali	1	0	13
coma	0	5	3
gara	29	208	11
tattica	0	12	8
riallineamento	0	0	1
pensionato	0	2	6
viaggio	0	5	1
rinascimento	0	1	2
impressionista	0	0	1
intesa	0	111	29
staffetta	0	0	1
sila	3	2	6
arringa	0	0	1
ferie	0	17	5
surrealismo	0	0	2
appuntamento	0	3	1
tasse	0	31	10
chernobyl	0	0	2
costituzione	0	10	1
cristiani	9	1	3
maturità	0	2	2
post	1	73	2
gravidanza	0	14	2
novecento	1	0	1
verdi	0	0	1
libretto	0	0	1
offerte	0	2	6
dibattimento	0	0	2
comitato	0	3	3
berlusconiano	0	1	1
vendita	6	48	8
liberty	0	0	1
esame	0	1559	13
montaggi	0	0	2
scenes	0	0	1
serale	4	9	12
congresso	1	9	11
sondaggio	0	1	5
romanticismo	1	6	3
beat	0	0	1
pop	0	0	6
ominidi	1	2	2
missoni	0	0	2
trattativa	0	3	6
