NOUN	WIKICONLL	ITWAC	REPUBBLICA
nuovo	0	0	5
milan	0	0	1
giovane	0	2	5
de	0	0	1
bambino	0	6	1
credenti	0	0	2
stile	1	11	5
falso	0	0	1
contadino	0	0	1
credente	0	0	1
stampo	0	2	1
vecchio	0	1	1
sosa	0	0	1
benetton	0	0	10
palazzo	0	0	1
nuova	0	0	4
la	0	0	1
fanciullo	0	0	1
salviati	2	0	0
sole	1	0	0
inzaghi	0	2	0
ora	0	1	0
uomo	0	1	0
ultras	0	1	0
cattolici	0	2	0
nome	0	1	0
valore	0	1	0
ragazzo	0	1	0
osteria	0	1	0
amico	0	1	0
tempo	0	1	0
babilonese	0	2	0
architetto	0	2	0
giovani	0	1	6
vecchi	0	0	1
utenti	0	4	0
amici	0	1	0
bambini	0	4	0
romano	0	0	6
fabbrica	0	0	1
bambina	0	2	3
mostro	0	0	1
maniera	0	8	3
vampiro	0	0	1
città	1	0	0
chiesa	0	1	0
vecchia	0	1	0
ala	0	2	0
spirito	0	1	0
energia	0	1	0
scuola	0	1	0
