NOUN	WIKICONLL	ITWAC	REPUBBLICA
sospensione	0	0	1
zero	0	0	4
ribellione	0	0	1
sorella	0	0	1
monologo	0	1	3
morta	0	0	1
ristoranti	0	0	1
moneta	1	0	5
intellettuali	0	0	1
marginalità	0	0	1
fattorino	0	0	1
recessione	0	1	7
congresso	0	0	5
avanguardia	0	0	1
segretario	0	1	1
verifica	0	0	1
pro	0	0	1
miracolo	0	3	1
monopolio	5	61	15
embargo	0	0	2
ottimista	0	0	1
raddoppio	0	0	1
broadway	0	0	1
capitale	0	0	1
riconoscimento	0	0	1
denuncia	0	0	1
nulla	0	0	4
bianca	0	0	1
classe	0	0	1
ombre	0	0	1
lettore	0	0	1
lettura	0	0	1
favorita	0	0	1
plebiscito	0	0	1
certezze	0	5	5
addio	0	0	1
fallimento	0	7	3
vertice	0	0	2
certezza	0	12	15
sindaco	0	1	4
occasioni	0	0	2
espressioni	0	0	1
western	0	0	1
bianchi	0	0	1
solidarietà	0	0	1
morti	1	0	1
romanzo	0	2	5
monopoli	0	2	2
crisi	0	8	19
derby	0	0	1
intese	0	0	1
brianzolo	0	0	1
intesa	0	0	1
alleato	0	0	1
eroe	0	0	1
eletto	0	1	1
ammiraglia	0	0	1
cicciolina	0	0	1
presidente	0	0	5
documentario	0	2	1
giallo	0	0	2
biografia	1	0	2
destra	0	3	1
bancarotta	0	0	2
giovane	0	1	3
collisione	0	53	2
consuntivo	0	0	1
tabù	0	0	2
reattore	0	0	1
normalità	0	2	3
scisma	0	3	1
blocco	0	0	1
benessere	0	0	1
narratrice	0	0	1
liberal	0	0	1
incidente	0	3	1
riabilitazione	0	0	2
ragazzini	0	0	1
scomparsa	0	1	1
doppione	0	0	1
governo	0	0	1
paradosso	0	0	1
ricchi	0	0	1
rassegnazione	0	0	1
professori	0	0	1
angelo	0	0	1
holding	0	0	1
ferrovieri	0	0	1
tg	0	0	1
successo	0	0	1
inventore	0	0	1
genio	0	0	1
industriale	0	0	1
pivot	0	0	1
velo	0	0	1
decalogo	0	1	1
lager	0	0	1
uomini	0	2	1
diretta	0	2	5
vittoria	0	3	4
centenario	0	0	1
battaglia	0	0	1
chic	0	0	1
dimissioni	0	4	3
tregua	0	0	3
delirio	0	0	1
charlot	0	0	1
libertà	0	0	1
musical	0	2	2
scienza	0	0	1
fidanzato	0	0	1
architetto	0	0	2
equilibrio	8	2	1
capoluogo	0	0	1
partito	0	4	7
comunismi	0	0	1
realtà	1	5	2
presenza	0	0	1
accordo	0	4	7
contratti	1	5	1
debuttante	0	0	1
presentatori	0	0	1
umane	0	0	1
analfabeta	0	0	1
letterato	0	0	1
dittatore	0	1	1
esclusiva	0	0	1
golpista	0	0	1
vip	0	0	1
repubblica	3	0	1
assessore	0	0	1
