NOUN	WIKICONLL	ITWAC	REPUBBLICA
prima	0	0	1
litteram	34	0	76
metanolo	0	0	1
requisitoria	0	0	1
guerra	11	26	2
gorbaciov	0	0	3
gardini	0	0	1
decreto	0	1	1
scudetto	0	0	1
imposte	0	26	26
glasnost	0	0	2
perestrojka	0	0	3
mortem	1	0	1
crac	0	1	1
crash	0	0	1
crisi	0	4	4
invasione	0	0	1
crollo	0	0	1
golfo	0	0	4
recessione	0	0	2
liquidazione	0	0	2
referendum	0	0	1
anteprima	0	0	2
commissariamento	0	0	1
ricapitalizzazione	0	0	1
operazioni	0	0	1
riforma	2	30	2
svalutazione	0	0	1
tangentopoli	0	0	2
trasformazione	0	1	1
marcia	0	1	2
craxi	0	0	1
tasse	0	1	1
ante	0	0	1
necci	0	0	1
ottobre	0	0	1
festival	0	0	1
findus	0	0	1
opera	0	1	1
boom	0	0	1
carcere	0	0	1
scissione	0	1	1
internet	0	0	1
derby	0	1	1
girone	1	0	0
gold	1	0	0
conflitto	1	0	0
professionismo	1	0	0
euro	0	11	0
bettino	0	1	0
fusione	0	5	0
erogazione	0	1	0
buco	0	1	0
causa	0	1	0
parto	0	1	0
decreti	0	1	0
imposta	0	1	0
procedura	0	1	0
infortunio	0	1	0
liberalizzazione	0	5	0
legge	0	1	0
trasmissione	0	1	0
dottorato	0	1	0
costituzione	0	1	0
parola	0	3	0
anni	0	1	0
modifiche	0	1	0
sessione	0	2	0
caduta	0	3	0
fatti	0	1	0
fatto	0	2	0
animalista	0	1	0
feudalesimo	0	1	0
salone	0	2	0
depurazione	0	3	0
vendita	0	1	0
nomina	0	1	0
trauma	0	1	0
divorzio	0	1	0
key	0	1	0
tempo	0	1	0
lavori	0	1	0
retro	0	1	0
girotondi	0	1	0
festa	0	1	0
casino	0	1	0
scriptum	0	1	0
lege	0	1	0
