NOUN	WIKICONLL	ITWAC	REPUBBLICA
chou	1	0	1
lai	0	0	1
presidente	0	0	1
d	0	0	1
impero	0	0	1
scudo	0	0	1
polo	0	0	1
questione	0	0	1
fu	1	0	3
feltri	0	0	2
candidati	0	0	1
tsung	1	0	0
chin	2	0	0
jen	2	0	0
zoo	1	0	0
ma	1	1	0
chien	1	0	0
shin	1	0	0
chen	6	0	0
yu	1	0	0
ki	1	0	0
do	2	0	0
ligier	0	2	0
pugno	0	1	0
l	0	5	0
ga	0	2	0
craxiani	0	1	0
redazione	0	1	0
sioni	0	1	0
sione	0	3	0
mandarini	0	3	0
sky	0	1	0
mare	0	1	0
sinistra	0	1	0
papa	0	1	0
dialetto	0	1	0
gruppo	0	1	0
cile	0	1	0
editore	0	1	0
partito	0	1	0
shan	0	1	0
marito	0	1	0
virtù	0	1	0
motorino	0	1	0
go	0	1	0
partiti	0	1	0
allenatore	0	1	0
movie	0	1	0
